id,question,rewritten_question,context,answer,strategy
1152,"Was Fillmore the second Chancellor, a position he maintained while both Vice President and President?",Is Fillmore the second Chancellor of the United States?,*Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.,no,384d_enhanced_top1
1153,Is Fillmore the first of two presidents to have been an indentured servant ?,Is Fillmore the first president to be an indentured servant ?,*Fillmore is the first of two presidents to have been an indentured servant. He was a clothmaker.,yes,384d_enhanced_top1
1154,Is the comic strip Mallard Fillmore named after the president ?,Is the comic strip Mallard Fillmore named after the president ?,*The comic strip Mallard Fillmore is named after the president.,yes,384d_enhanced_top1
1155,Was Fillmore the first U.S. President born after the death of a former president ?,Who was the first U.S. President born after the death of a former president ?,"*Fillmore was the first U.S. President born after the death of a former president, as he was born three weeks after George Washington's death on December 14, 1799.","Fillmore was the first U.S. President born after the death of a former president, as he was born three weeks after George Washington's death on December 14, 1799.",384d_enhanced_top1
1156,"Did Fillmore not turn down the honor , explaining that he had neither the `` literary nor scientific attainment '' to justify the degree ?","Did Fillmore turn down the honor , explaining that he had neither the  literary nor scientific attainment '' to justify the degree ?","After the death of his daughter Mary, Fillmore went abroad. While touring Europe in 1855, Fillmore was offered an honorary Doctor of Civil Law (D.C.L.) degree by the University of Oxford.  Fillmore turned down the honor, explaining that he had neither the ""literary nor scientific attainment"" to justify the degree.  He is also quoted as having explained that he ""lacked the benefit of a classical education"" and could not, therefore, understand the Latin text of the diploma, then joking that he believed ""no man should accept a degree he cannot read.""",Yes,384d_enhanced_top1
1157,"What happened in a log cabin in summerhill , new york?","What happened in a log cabin in summerhill , new york?",Symbolic log cabin at Abraham Lincoln Birthplace National Historic Site.,Abraham Lincoln Birthplace National Historic Site,384d_enhanced_top1
1158,"Who was born precisely at midnight during an electrical storm , to a Serbian family in the village of Smiljan near Gospić , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire ) , in the present-day Croatia . ?","What is the name of the person who was born in the village of Smiljan near Gospi , in the Lika region of the Croatian Krajina in Military Frontier ( part of the Austrian Empire )","According to legend, Tesla was born precisely at midnight during an electrical storm, to a Serbian family in the village of Smiljan near GospiÄ, in the Lika region of the Croatian Krajina in Military Frontier (part of the Austrian Empire), in the present-day Croatia. Dommermuth-Costa, Carol, Nikola Tesla: A Spark of Genius, pp. 11-12. 1994. ISBN","Tesla was born precisely at midnight during an electrical storm, to a Serbian family in the village of Smiljan near Gospi, in the Lika region of the Croatian Krajina in Military Frontier (part of the Austrian Empire), in the present-day Croatia",384d_enhanced_top1
1159,Are there at least two films describing Tesla 's life ?,Are there at least two films describing Tesla 's life ?,"* There are at least two films describing Tesla's life. In the first, filmed in 1977, arranged for TV, Tesla was portrayed by Rade Å erbedÅ¾ija. In 1980, Orson Welles produced a Yugoslav film named  Tajna Nikole Tesle (The Secret of Nikola Tesla), in which Welles himself played the part of Tesla's patron, J.P. Morgan. Film was directed by Krsto PapiÄ, and Nikola Tesla was portrayed by Petar BoÅ¾oviÄ.",There are at least two films describing Tesla's life,384d_enhanced_top1
1160,Have a number of live theatrical plays based on Tesla 's life been produced and staged worldwide ?,How many plays have been produced and staged based on Tesla 's life ?,A number of live theatrical plays based on Tesla's life have been produced and staged worldwide.  ,A number of live theatrical plays based on Tesla's life have been produced and staged worldwide.,384d_enhanced_top1
1161,Do sea otters have long muscular tails?,"Do sea otters have long, muscular tails?","Otters have long, slim bodies and relatively short limbs, with webbed paws. Most have sharp claws on their feet, and all but the sea otter have long muscular tails.",yes,384d_enhanced_top1
1163,Can otters survive in cold water?,Can otters survive in cold water?,"Otters do not depend on their specialized fur alone for survival in the cold waters where many live: they also have very high metabolic rates. For example Eurasian otters must eat 15% of their body-weight a day, and sea otters, 20 to 25%, depending on the temperature. In water as warm as 10Â°C an otter needs to catch 100 g of fish per hour to survive.  Most species hunt for 3 to 5 hours a day, and nursing mothers up to 8 hours a day.",yes,384d_enhanced_top1
